author_id,created_at.x,id,lang,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,created_at.y,username,location,verified,name,url,description
726955705345908736,2021-04-20T15:18:03.000Z,1384526786671882242,es,"@felipekast @senadornavarro #CárcelParaPiñera tenemos más de 500 compatriotas mutilados de sus ojos, cientos de muertos, abusados y torturados. Quita la viga en tu ojo y luego podrás quitar la de tu prójimo.",0,0,0,0,2016-05-02T02:05:21.000Z,vivinavarrob1,"Concepción, Chile",FALSE,VivianaNavarroBrain,https://t.co/PPeJbphYaI,"Ex Pdta de @adeconbiobio. Actriz doblajista. Trabajadora social de profesión. Luchadora, Humanista y Cristiana."
744916336489435136,2021-04-20T15:40:42.000Z,1384532484176715776,es,"@Chamonix11 @felipekast @senadornavarro Estoy super preocupado de tus compras...😁😁, aprende a escribir te ayudará a entender, saludos.",0,0,0,0,2016-06-20T15:34:29.000Z,cengu41,"",FALSE,Cristian Novoa,"",Apruebo
797282130959200256,2021-04-20T14:54:05.000Z,1384520755325587457,es,"@felipekast @senadornavarro Y es una ingenuidad aberrante haber creido en sus palabras. O haber creido que juntes iban a escribir una Constitución que ""nos asombre""",0,0,3,0,2016-11-12T03:37:27.000Z,jagaggero,"La Reina, Chile",FALSE,José Andrés Gaggero 🇨🇱 🇮🇹,"","Ni compañere ni patriota

Para mi, Twitter es para intercambiar bits de opinión, servicio público y videos de gatitos

Para discusiones sesudas está Tik Tok"
802629224079257604,2021-04-20T15:30:39.000Z,1384529954403139588,es,"@felipekast @smneder @senadornavarro Una señal más de millones que demuestran que los ""derechos humanos"" NO existen y que solo ha sido un show utilizado por la izquierda para llorar a los terroristas muertos del pasado y robarle dinero al Estado.",0,0,0,0,2016-11-26T21:44:53.000Z,Fmera1983,"",FALSE,Federico Mera,"",""
802629224079257604,2021-04-20T18:02:54.000Z,1384568273031794694,es,"@felipekast @senadornavarro La dictadura más genocida y terrorista en la historia de Latinoamérica es la que aun sigue en el país de donde tú mujer arranco, Cuba. 

Salvo que sigas creyéndote el cuento de que ahí no hubo muertos, torturados, prisioneros y desaparecidos, etc...  y todos por querer libertad.",0,0,0,0,2016-11-26T21:44:53.000Z,Fmera1983,"",FALSE,Federico Mera,"",""
802629224079257604,2021-04-20T18:09:21.000Z,1384569895552172033,es,"@felipekast @senadornavarro La dictadura venezolana es hija de la dictadura cubana... el mismo plan que tenía el tirano marxista Salvador Allende para Chile. 

Y a muchos de los héroes que protegieron a Chile del comunismo y de ser otra Cuba, los tienen prisioneros en Punta Peuco.

https://t.co/yRqqnHFxRd https://t.co/pwxZWSh51a",0,0,0,0,2016-11-26T21:44:53.000Z,Fmera1983,"",FALSE,Federico Mera,"",""
83467661,2021-04-21T01:13:13.000Z,1384676565120860161,es,"@Peter_day22 @Renatodealva @felipekast @senadornavarro Tu crees realmente eso que dices? Yo no. Ellos saben todo, lo conversan, ven su conveniencia y si tienen algo que sacar, lo hacen. #QueSeVayanTodos",0,0,0,0,2009-10-18T22:58:38.000Z,el_pipeno,"Ovalle, Chile",FALSE,El Pipeño 🍷,"","Republicano de los buenos. Amigo de mis amigos. Amante del Motociclismo de Aventura. Curado en las bebidas, guachuchero en las comidas."
834937305525800961,2021-04-21T03:44:47.000Z,1384714704975802372,und,@felipekast @FridaSiKahlo @senadornavarro 🤔🤔🤔🤔🤔🍭🍭🍭🍭🍭🍭,0,0,0,0,2017-02-24T01:25:40.000Z,Marater36238571,"",FALSE,María teresa,"",""
852946994658246656,2021-04-20T16:26:04.000Z,1384543901659418626,es,Mensaje para @felipekast y otros ingenuos que nos tienen metidos en ésto.... que mentes más obtusas! Se los advertimos una y otra vez! https://t.co/y7K3N6ISNX,2,0,2,0,2017-04-14T18:09:45.000Z,MatildeCarvallo,"",FALSE,Matilde Carvallo,"",""
852946994658246656,2021-04-20T17:11:42.000Z,1384555386091544577,es,@felipekast tus socios! A los que les creiste! NUNCA se tranza con la izquierda!! https://t.co/TUczIze0ka,0,0,0,0,2017-04-14T18:09:45.000Z,MatildeCarvallo,"",FALSE,Matilde Carvallo,"",""
878726434289844224,2021-04-20T23:59:06.000Z,1384657911306203136,es,"@felipekast @cmerinoc @Panchoundurraga Que opinan de https://t.co/N4cgjzL01l la nueva plataforma social comunitaria que busca visibilizar las problemáticas de nuestros barrios y resaltar las buenas acciones de los vecinos.

Pronto se sumaran muchas organizaciones comunitarias que ya conocen de motivas. https://t.co/RZQlgHZMyI",0,0,0,0,2017-06-24T21:28:02.000Z,ignacioalfarov,"Santiago, Chile",FALSE,Francisco Ignacio,https://t.co/QaMpJjJibl,Buscando la formula para utilizar las tecnologías de información y comunicación en beneficio de nuestra sociedad.
903430708907167744,2021-04-20T17:25:11.000Z,1384558777232465926,es,"@felipekast @senadornavarro Dormiste con el enemigo, que son niñatos jugando a la política,  y amaneciste mojado y cag..o",0,0,0,0,2017-09-01T01:34:00.000Z,micamus13,Chile,FALSE,MarKa,"","Profesional,  Familia, Patria y Libertad. Derecha en todos los frentes. 
#ChileUnidoAvanza
#Patriot
#ChileNoCaera"
913797432131112961,2021-04-20T23:03:00.000Z,1384643793715142656,es,#TerceRetiro10ciento #ElPeorPresidenteDeLaHistoria @sebastianpinera @jvanbiobio @ivanmoreirab @PamJiles  ESTO ES SIN LLORAR Y NO LO VIMOS VENIR....@rodrigosepu @felipekast  PREPARA EL HELICÓPTERO ARDERÁ  TODO CHILE.....NO MÁS DERECHA EN LAS PRÓXIMAS ELECCIONES https://t.co/CuZ2V3jwi2,2,0,5,0,2017-09-29T16:07:40.000Z,joselui00371466,"",FALSE,#Rivasjj,"","Si te gusta el humor sarcástico ..sígueme y si no ,siga de largo"
922233018059821057,2021-04-20T23:54:54.000Z,1384656853599232007,es,@felipekast @cmerinoc @Panchoundurraga Y recordar por favor la población más olvidada por nuestras generaciones... los adultos mayores.,0,0,1,0,2017-10-22T22:47:40.000Z,Dr_CamiloBarrer,"Lautaro, Chile",FALSE,Dr Camilo Barrera,"","médico cirujano del sur de Chile, artista amateur, amante del deporte y la naturaleza"
957277380158029824,2021-04-20T22:41:09.000Z,1384638294013747201,es,"@felipekast @senadornavarro Aburrete de Venezuela, tienes Chilezuela aquí bpara que hagas las gárgaras que quieras.",0,0,0,0,2018-01-27T15:41:27.000Z,IngridD10941813,"Ovalle, Chile",FALSE,la cabra de cerro,"",Simplemente mujer
957970221339480064,2021-04-21T03:23:08.000Z,1384709257375981568,es,@ipoduje @felipekast Irresponsable e irracional tus acusaciones al voleo. Un 1.,0,0,0,0,2018-01-29T13:34:33.000Z,Rodrigo07866735,"",FALSE,Rodrigo,"",""
966450189140746241,2021-04-20T18:12:58.000Z,1384570803962978308,es,@SergioLopez449 @felipekast @senadornavarro Que empate mas rasca...,0,0,0,0,2018-02-21T23:10:55.000Z,Ignaxio_Miranda,"",FALSE,IgnacioMM,"",""
982997663842004992,2021-04-20T23:52:36.000Z,1384656275624038404,es,@felipekast @cmerinoc @Panchoundurraga Deja usar y utilizar a las personas para tus sucios intereses políticos,0,0,0,0,2018-04-08T15:04:41.000Z,penacastro621,"",FALSE,APRUEBO-C.CONSTITUYENTE,"",""
